date,open,high,low,close,adjusted_close,volume
2024-01-02,162.83,163.29,160.46,161.5,160.0409,3825000
2024-01-03,161.0,161.73,160.08,160.1,158.6536,4086100
2024-01-04,160.22,161.81,160.17,160.86,159.4067,3212000
2024-01-05,159.91,160.55,158.67,159.16,157.7221,4199400
2024-01-08,158.69,161.22,157.89,161.14,159.6842,3321700
2024-01-09,160.0,160.48,159.51,160.08,158.6338,2617200
2024-01-10,160.28,161.34,159.74,161.23,159.7734,2967800
2024-01-11,161.02,162.23,160.29,162.16,160.695,3778200
2024-01-12,162.97,165.98,162.35,165.8,164.3021,4956400
2024-01-16,165.8,167.25,165.34,166.96,165.4516,4869600
2024-01-17,166.79,167.82,165.5,166.08,164.5795,4288600
2024-01-18,166.49,166.99,165.04,166.84,165.3327,3776900
2024-01-19,170.59,171.58,169.18,171.48,169.9308,6925800
2024-01-22,172.82,174.45,172.4,172.83,171.2686,4926000
2024-01-23,172.9,174.02,172.48,173.94,172.3685,3983500
2024-01-24,174.76,174.86,172.9,173.93,172.3586,9097800
2024-01-25,184.96,196.9,184.83,190.43,188.7096,29596200
2024-01-26,191.31,192.39,186.16,187.42,185.7268,9895900
2024-01-29,187.46,189.46,186.05,187.14,185.4493,6107900
2024-01-30,187.71,188.65,186.77,187.87,186.1727,4575100
2024-01-31,187.05,187.65,183.14,183.66,182.0007,8876100
2024-02-01,183.63,187.51,182.71,186.9,185.2115,4669400
2024-02-02,187.1,187.39,185.62,185.79,184.1115,4054200
2024-02-05,185.51,185.78,183.255,183.42,181.7629,4379602
2024-02-06,183.55,184.68,183.04,183.41,181.753,3338196
2024-02-07,183.34,184.02,182.625,183.74,182.08,4841188
2024-02-08,182.63,184.55,181.49,184.36,184.36,5161185
2024-02-09,184.44,187.18,183.85,186.34,186.34,5064641
2024-02-12,185.9,186.48,184.03,186.16,186.16,4724021
2024-02-13,184.28,184.77,182.36,183.7,183.7,4290453
2024-02-14,185.0,185.0,182.26,183.57,183.57,3173391
2024-02-15,183.62,186.98,183.62,186.87,186.87,4714301
2024-02-16,186.63,188.95,185.9452,187.64,187.64,4842840
2024-02-20,187.64,188.77,183.06,183.44,183.44,4247181
2024-02-21,182.56,183.03,178.75,179.7,179.7,4728473
2024-02-22,182.45,184.55,181.93,184.21,184.21,5078398
2024-02-23,184.9,186.455,184.57,185.72,185.72,3433800
2024-02-26,185.6,186.125,184.06,184.13,184.13,4620815
2024-02-27,184.16,185.13,182.62,184.87,184.87,3641378
2024-02-28,184.63,185.37,183.55,185.3,185.3,3216345
2024-02-29,186.15,186.85,184.69,185.03,185.03,6458500
2024-03-01,185.49,188.38,185.18,188.2,188.2,4017300
2024-03-04,187.76,193.898,187.6,193.06,193.06,7938266
2024-03-05,192.0,193.94,190.57,191.95,191.95,5653641
2024-03-06,193.5,198.13,192.96,196.16,196.16,6945818
2024-03-07,197.58,198.73,196.14,196.54,196.54,4604458
2024-03-08,196.06,197.77,194.38,195.95,195.95,3943113
2024-03-11,195.09,195.3775,190.88,191.73,191.73,4725057
2024-03-12,192.46,199.18,192.15,197.78,197.78,5880075
2024-03-13,197.55,198.1,195.32,196.7,196.7,3993258
2024-03-14,196.95,197.748,192.12,193.43,193.43,4109636
2024-03-15,191.99,193.0573,190.7,191.07,191.07,8828184
2024-03-18,191.7,193.23,190.32,191.69,191.69,5410562
2024-03-19,191.49,193.58,190.28,193.34,193.34,5317341
2024-03-20,192.87,193.98,191.31,193.96,193.96,3238643
2024-03-21,193.0,193.37,190.01,191.9,191.9,6013561
2024-03-22,192.0,192.985,190.51,190.84,190.84,3988398
2024-03-25,190.26,190.82,188.75,188.79,188.79,3718289
2024-03-26,189.02,190.0,188.5,188.5,188.5,4229535
2024-03-27,189.6,190.96,188.6,190.8,190.8,3693305
2024-03-28,190.94,191.9299,190.34,190.96,190.96,3742169
2024-04-01,190.0,190.46,188.52,189.83,189.83,2364320
2024-04-02,189.14,189.8,187.6,188.88,188.88,2693455
2024-04-03,188.6,191.35,188.485,190.9,190.9,2826193
2024-04-04,192.0,193.28,187.34,187.94,187.94,2983853
2024-04-05,188.59,190.32,188.02,189.14,189.14,2014264
2024-04-08,189.24,190.24,188.9118,189.82,189.82,2678284
